kind,seed,rank,source,ablation_reduction,aggregate_mean
random,6,5,phasesar,0.09375,0.0078124962747097015
random,6,5,quorumweave,0.0625,0.0078124962747097015
random,6,5,shardbloom,0.06250002980232239,0.0078124962747097015
random,6,6,anchorshift,-0.03125,0.019531252793967724
random,6,6,driftgate,-0.031249992549419403,0.019531252793967724
random,6,6,fluxpatch,0.062499985098838806,0.019531252793967724
random,6,6,motifbridge,0.06249995529651642,0.019531252793967724
random,6,6,phasenest,0.03125002980232239,0.019531252793967724
random,6,6,phasesar,1.4901161193847656e-08,0.019531252793967724
random,6,6,quorumweave,0.0,0.019531252793967724
random,6,6,shardbloom,0.06250002980232239,0.019531252793967724
random,6,7,anchorshift,-0.03125,-0.01171874813735485
random,6,7,driftgate,-0.031249985098838806,-0.01171874813735485
random,6,7,fluxpatch,0.03125,-0.01171874813735485
random,6,7,motifbridge,-2.9802322387695312e-08,-0.01171874813735485
random,6,7,phasenest,2.9802322387695312e-08,-0.01171874813735485
random,6,7,phasesar,0.0,-0.01171874813735485
random,6,7,quorumweave,-0.03125,-0.01171874813735485
random,6,7,shardbloom,-0.03125,-0.01171874813735485
random,6,8,anchorshift,-0.03125,-0.007812498137354851
random,6,8,driftgate,-0.0625000074505806,-0.007812498137354851
random,6,8,fluxpatch,0.0625,-0.007812498137354851
random,6,8,motifbridge,0.0,-0.007812498137354851
random,6,8,phasenest,0.0,-0.007812498137354851
random,6,8,phasesar,-0.031250014901161194,-0.007812498137354851
random,6,8,quorumweave,0.0,-0.007812498137354851
random,6,8,shardbloom,3.725290298461914e-08,-0.007812498137354851
random,7,1,anchorshift,0.031249970197677612,0.01171875
random,7,1,driftgate,0.0,0.01171875
random,7,1,fluxpatch,0.0,0.01171875
random,7,1,motifbridge,0.031249970197677612,0.01171875
random,7,1,phasenest,-0.03125,0.01171875
random,7,1,phasesar,0.0625,0.01171875
random,7,1,quorumweave,0.0,0.01171875
random,7,1,shardbloom,5.960464477539063e-08,0.01171875
random,7,2,anchorshift,0.031249970197677612,0.023437492549419403
random,7,2,driftgate,-0.031250014901161194,0.023437492549419403
random,7,2,fluxpatch,0.03125,0.023437492549419403
random,7,2,motifbridge,-2.9802322387695312e-08,0.023437492549419403
random,7,2,phasenest,0.0,0.023437492549419403
random,7,2,phasesar,0.062499985098838806,0.023437492549419403
random,7,2,quorumweave,0.0625,0.023437492549419403
random,7,2,shardbloom,0.03125002980232239,0.023437492549419403
random,7,3,anchorshift,0.0,0.02343750186264515
random,7,3,driftgate,0.0,0.02343750186264515
random,7,3,fluxpatch,0.062499985098838806,0.02343750186264515
random,7,3,motifbridge,-2.9802322387695312e-08,0.02343750186264515
random,7,3,phasenest,0.0,0.02343750186264515
random,7,3,phasesar,0.0625,0.02343750186264515
random,7,3,quorumweave,0.03125,0.02343750186264515
random,7,3,shardbloom,0.031250059604644775,0.02343750186264515
random,7,4,anchorshift,0.062499940395355225,0.007812494412064552
random,7,4,driftgate,-0.031249985098838806,0.007812494412064552
