kind,seed,source,addition_effect,aggregate_mean
random,28,quorumweave,-0.015625,-0.02343750186264515
random,28,shardbloom,-0.015624970197677612,-0.02343750186264515
random,29,anchorshift,-0.046875014901161194,-0.025390627328306437
random,29,driftgate,-0.0312500037252903,-0.025390627328306437
random,29,fluxpatch,-0.015625,-0.025390627328306437
random,29,motifbridge,-0.015625014901161194,-0.025390627328306437
random,29,phasenest,-0.03125,-0.025390627328306437
random,29,phasesar,-0.015625014901161194,-0.025390627328306437
random,29,quorumweave,-0.015625,-0.025390627328306437
random,29,shardbloom,-0.031249970197677612,-0.025390627328306437
random,30,anchorshift,-0.015625,0.003906251396983862
random,30,driftgate,-0.03125,0.003906251396983862
random,30,fluxpatch,0.015625,0.003906251396983862
random,30,motifbridge,0.015624985098838806,0.003906251396983862
random,30,phasenest,0.0156250037252903,0.003906251396983862
random,30,phasesar,0.015625007450580597,0.003906251396983862
random,30,quorumweave,0.0,0.003906251396983862
random,30,shardbloom,0.015625014901161194,0.003906251396983862
random,31,anchorshift,0.046875,0.015625000465661287
random,31,driftgate,-0.015624992549419403,0.015625000465661287
random,31,fluxpatch,0.0,0.015625000465661287
random,31,motifbridge,0.031249981373548508,0.015625000465661287
random,31,phasenest,0.015625,0.015625000465661287
random,31,phasesar,0.015625,0.015625000465661287
random,31,quorumweave,0.015625,0.015625000465661287
random,31,shardbloom,0.015625014901161194,0.015625000465661287
random,32,anchorshift,-0.015625014901161194,-0.01757812825962901
random,32,driftgate,-0.0624999925494194,-0.01757812825962901
random,32,fluxpatch,0.015625,-0.01757812825962901
random,32,motifbridge,-3.3527612686157227e-08,-0.01757812825962901
random,32,phasenest,-0.046875,-0.01757812825962901
random,32,phasesar,-0.03125,-0.01757812825962901
random,32,quorumweave,0.0,-0.01757812825962901
random,32,shardbloom,1.4901161193847656e-08,-0.01757812825962901
random,33,anchorshift,0.015625,0.019531249068677425
random,33,driftgate,0.031249992549419403,0.019531249068677425
random,33,fluxpatch,0.03125,0.019531249068677425
random,33,motifbridge,0.015624985098838806,0.019531249068677425
random,33,phasenest,0.031249985098838806,0.019531249068677425
random,33,phasesar,0.015625,0.019531249068677425
random,33,quorumweave,0.0,0.019531249068677425
random,33,shardbloom,0.015625029802322388,0.019531249068677425
random,34,anchorshift,-0.09375002980232239,-0.05273438012227416
random,34,driftgate,-0.046875,-0.05273438012227416
random,34,fluxpatch,-0.0625000149011612,-0.05273438012227416
random,34,motifbridge,-0.015625014901161194,-0.05273438012227416
random,34,phasenest,-0.0624999962747097,-0.05273438012227416
random,34,phasesar,-0.046875,-0.05273438012227416
random,34,quorumweave,-0.0625,-0.05273438012227416
random,34,shardbloom,-0.031249985098838806,-0.05273438012227416
random,35,anchorshift,0.015624970197677612,0.011718745809048414
random,35,driftgate,-0.015625007450580597,0.011718745809048414
random,35,fluxpatch,0.0,0.011718745809048414
random,35,motifbridge,0.03124997392296791,0.011718745809048414
random,35,phasenest,0.03125,0.011718745809048414
random,35,phasesar,0.015625,0.011718745809048414
random,35,quorumweave,0.015625,0.011718745809048414
random,35,shardbloom,2.9802322387695312e-08,0.011718745809048414
random,36,anchorshift,0.04687497019767761,0.039062495809048414
random,36,driftgate,0.03125,0.039062495809048414
random,36,fluxpatch,0.0625,0.039062495809048414
