heldout_source,seed,mean_addition_effect
resnet,96,-0.015625
resnet,97,0.015624992549419403
resnet,98,-0.015625
resnet,99,1.1175870895385742e-08
transformer,0,0.015625007450580597
transformer,1,0.0625000074505806
transformer,2,-7.450580596923828e-09
transformer,3,-0.015625
transformer,4,0.031249992549419403
transformer,5,0.031249985098838806
transformer,6,0.03125002235174179
transformer,7,-0.015625
transformer,8,0.0468749925494194
transformer,9,1.4901161193847656e-08
transformer,10,0.015624985098838806
transformer,11,-0.015625007450580597
transformer,12,0.031249992549419403
transformer,13,0.03125
transformer,14,0.0624999925494194
transformer,15,0.015625
transformer,16,0.03125
transformer,17,-2.2351741790771484e-08
transformer,18,-0.015624992549419403
transformer,19,0.0312500074505806
transformer,20,0.0625000074505806
transformer,21,0.046875
transformer,22,0.0
transformer,23,0.0937500149011612
transformer,24,0.015624985098838806
transformer,25,-0.0312500074505806
transformer,26,0.015625
transformer,27,0.0781250074505806
transformer,28,-0.015625
transformer,29,0.031250014901161194
transformer,30,0.03125
transformer,31,0.0781249925494194
transformer,32,0.03125
transformer,33,0.03124997764825821
transformer,34,-0.015624985098838806
transformer,35,0.03125
transformer,36,0.0468750074505806
transformer,37,0.0312500074505806
transformer,38,0.0781249925494194
transformer,39,-0.015625
transformer,40,-7.450580596923828e-09
transformer,41,0.015625007450580597
transformer,42,0.01562497764825821
transformer,43,0.046875
transformer,44,0.015624985098838806
transformer,45,0.0624999925494194
transformer,46,0.015625014901161194
transformer,47,-0.015625
transformer,48,0.0468749925494194
transformer,49,-1.4901161193847656e-08
transformer,50,0.0624999925494194
transformer,51,0.046875014901161194
transformer,52,0.0781250074505806
transformer,53,0.031249992549419403
transformer,54,-0.031249985098838806
transformer,55,0.0625
transformer,56,0.046875
transformer,57,-1.4901161193847656e-08
transformer,58,0.0781249925494194
transformer,59,0.015625007450580597
transformer,60,0.0
transformer,61,-0.01562497764825821
transformer,62,0.03125
transformer,63,0.046875
transformer,64,0.046875
transformer,65,0.07812497764825821
transformer,66,0.031250014901161194
transformer,67,0.046875014901161194
transformer,68,-0.015624992549419403
transformer,69,1.4901161193847656e-08
transformer,70,-0.031249985098838806
transformer,71,0.015624992549419403
transformer,72,0.031249992549419403
transformer,73,0.0625
transformer,74,0.046875
transformer,75,0.031250014901161194
transformer,76,0.031249985098838806
transformer,77,0.015625
transformer,78,0.0
transformer,79,0.0
transformer,80,0.015624992549419403
transformer,81,0.0
transformer,82,0.015624985098838806
