kind,seed,example_id,source_id,profile_index,technical_label,alpha,technical_margin
random,18,transformer:novice:test:6:A,transformer,6,A,2.0,-6.000000086612999
random,18,transformer:novice:test:6:B,transformer,6,B,-2.0,-8.499999663079507
random,18,transformer:novice:test:6:B,transformer,6,B,2.0,-6.250000192085281
random,18,transformer:novice:test:7:A,transformer,7,A,-2.0,2.7499999962747097
random,18,transformer:novice:test:7:A,transformer,7,A,2.0,1.5000000596046448
random,18,transformer:novice:test:7:B,transformer,7,B,-2.0,-1.7499999850988388
random,18,transformer:novice:test:7:B,transformer,7,B,2.0,1.25
random,19,resnet:novice:test:6:A,resnet,6,A,-2.0,-3.749999888241291
random,19,resnet:novice:test:6:A,resnet,6,A,2.0,-5.499999983236194
random,19,resnet:novice:test:6:B,resnet,6,B,-2.0,-10.999999523302904
random,19,resnet:novice:test:6:B,resnet,6,B,2.0,-6.50000017543789
random,19,resnet:novice:test:7:A,resnet,7,A,-2.0,0.5
random,19,resnet:novice:test:7:A,resnet,7,A,2.0,-2.5000000968575478
random,19,resnet:novice:test:7:B,resnet,7,B,-2.0,-9.499999525964085
random,19,resnet:novice:test:7:B,resnet,7,B,2.0,-5.250000011175871
random,19,transformer:novice:test:6:A,transformer,6,A,-2.0,-3.9999998919665813
random,19,transformer:novice:test:6:A,transformer,6,A,2.0,-4.999999948777258
random,19,transformer:novice:test:6:B,transformer,6,B,-2.0,-10.749999523393853
random,19,transformer:novice:test:6:B,transformer,6,B,2.0,-5.749999928288162
random,19,transformer:novice:test:7:A,transformer,7,A,-2.0,3.4999999310821295
random,19,transformer:novice:test:7:A,transformer,7,A,2.0,1.0
random,19,transformer:novice:test:7:B,transformer,7,B,-2.0,-3.2499999403953552
random,19,transformer:novice:test:7:B,transformer,7,B,2.0,1.0
