test_set,kind,seed,aggregate_gap
stimuli_prospective_profile_paraphrase,random,53,-0.005015346221625805
stimuli_prospective_profile_paraphrase,permuted_labels,53,-0.0683640344068408
stimuli_prospective_profile_paraphrase,random,54,0.014024784788489342
stimuli_prospective_profile_paraphrase,permuted_labels,54,-0.14528854051604867
stimuli_prospective_profile_paraphrase,random,55,0.019777432549744844
stimuli_prospective_profile_paraphrase,permuted_labels,55,0.01439644768834114
stimuli_prospective_profile_paraphrase,random,56,-0.012853343039751053
stimuli_prospective_profile_paraphrase,permuted_labels,56,-0.20610923855565488
stimuli_prospective_profile_paraphrase,random,57,0.0034983663354068995
stimuli_prospective_profile_paraphrase,permuted_labels,57,-0.04565378464758396
stimuli_prospective_profile_paraphrase,random,58,-0.02355957916006446
stimuli_prospective_profile_paraphrase,permuted_labels,58,0.0004946161061525345
stimuli_prospective_profile_paraphrase,random,59,-0.01503587095066905
stimuli_prospective_profile_paraphrase,permuted_labels,59,-0.11246573179960251
stimuli_prospective_profile_paraphrase,random,60,0.012798036448657513
stimuli_prospective_profile_paraphrase,permuted_labels,60,0.015178238973021507
stimuli_prospective_profile_paraphrase,random,61,0.0050858668982982635
stimuli_prospective_profile_paraphrase,permuted_labels,61,-0.11577944085001945
stimuli_prospective_profile_paraphrase,random,62,0.008366847410798073
stimuli_prospective_profile_paraphrase,permuted_labels,62,-0.13088738778606057
stimuli_prospective_profile_paraphrase,random,63,0.004941291408613324
stimuli_prospective_profile_paraphrase,permuted_labels,63,0.010663033463060856
stimuli_prospective_profile_paraphrase,random,64,0.018353842198848724
stimuli_prospective_profile_paraphrase,permuted_labels,64,0.15487232292070985
stimuli_prospective_profile_paraphrase,random,65,0.005978923290967941
stimuli_prospective_profile_paraphrase,permuted_labels,65,-0.070549544878304
stimuli_prospective_profile_paraphrase,random,66,-0.011537039885297418
stimuli_prospective_profile_paraphrase,permuted_labels,66,-0.009490862488746643
stimuli_prospective_profile_paraphrase,random,67,0.0023708423832431436
stimuli_prospective_profile_paraphrase,permuted_labels,67,-0.08177179750055075
stimuli_prospective_profile_paraphrase,random,68,0.0008588186465203762
stimuli_prospective_profile_paraphrase,permuted_labels,68,0.12066866643726826
stimuli_prospective_profile_paraphrase,random,69,0.011313898488879204
stimuli_prospective_profile_paraphrase,permuted_labels,69,0.04462094698101282
stimuli_prospective_profile_paraphrase,random,70,-0.012686937116086483
stimuli_prospective_profile_paraphrase,permuted_labels,70,-0.1356237435247749
stimuli_prospective_profile_paraphrase,random,71,-0.011579456739127636
stimuli_prospective_profile_paraphrase,permuted_labels,71,-0.22987152100540698
stimuli_prospective_profile_paraphrase,random,72,0.008583037182688713
stimuli_prospective_profile_paraphrase,permuted_labels,72,-0.030874434858560562
stimuli_prospective_profile_paraphrase,random,73,0.00028167199343442917
stimuli_prospective_profile_paraphrase,permuted_labels,73,-0.1986097227782011
stimuli_prospective_profile_paraphrase,random,74,0.016592939500696957
stimuli_prospective_profile_paraphrase,permuted_labels,74,0.021443307399749756
stimuli_prospective_profile_paraphrase,random,75,0.0025695962831377983
stimuli_prospective_profile_paraphrase,permuted_labels,75,0.12600730918347836
stimuli_prospective_profile_paraphrase,random,76,-0.006792785599827766
stimuli_prospective_profile_paraphrase,permuted_labels,76,-0.024486802518367767
stimuli_prospective_profile_paraphrase,random,77,-0.00012233108282089233
stimuli_prospective_profile_paraphrase,permuted_labels,77,-0.19157157046720386
stimuli_prospective_profile_paraphrase,random,78,0.010239016264677048
stimuli_prospective_profile_paraphrase,permuted_labels,78,-0.10295873135328293
stimuli_prospective_profile_paraphrase,random,79,-0.009133584797382355
stimuli_prospective_profile_paraphrase,permuted_labels,79,-0.14468307816423476
stimuli_prospective_profile_paraphrase,random,80,0.004340277053415775
stimuli_prospective_profile_paraphrase,permuted_labels,80,0.24762159679085016
stimuli_prospective_profile_paraphrase,random,81,-0.006217500660568476
stimuli_prospective_profile_paraphrase,permuted_labels,81,-0.029262132942676544
stimuli_prospective_profile_paraphrase,random,82,0.002257077256217599
stimuli_prospective_profile_paraphrase,permuted_labels,82,-0.2449371637776494
stimuli_prospective_profile_paraphrase,random,83,0.0036974670365452766
stimuli_prospective_profile_paraphrase,permuted_labels,83,0.032332099974155426
stimuli_prospective_profile_paraphrase,random,84,-0.011926314793527126
stimuli_prospective_profile_paraphrase,permuted_labels,84,-0.20360819762572646
stimuli_prospective_profile_paraphrase,random,85,0.0014236560091376305
stimuli_prospective_profile_paraphrase,permuted_labels,85,-0.17991085723042488
stimuli_prospective_profile_paraphrase,random,86,-0.013157594949007034
stimuli_prospective_profile_paraphrase,permuted_labels,86,0.14390686666592956
stimuli_prospective_profile_paraphrase,random,87,-0.0015770837781019509
stimuli_prospective_profile_paraphrase,permuted_labels,87,-0.06799238920211792
stimuli_prospective_profile_paraphrase,random,88,-0.005640833638608456
stimuli_prospective_profile_paraphrase,permuted_labels,88,0.11464180843904614
stimuli_prospective_profile_paraphrase,random,89,0.0031011125538498163
stimuli_prospective_profile_paraphrase,permuted_labels,89,0.09863563813269138
stimuli_prospective_profile_paraphrase,random,90,-0.009322573198005557
stimuli_prospective_profile_paraphrase,permuted_labels,90,-0.04163771867752075
stimuli_prospective_profile_paraphrase,random,91,0.0019909627735614777
stimuli_prospective_profile_paraphrase,permuted_labels,91,-0.13693452719599009
stimuli_prospective_profile_paraphrase,random,92,-0.019411661196500063
stimuli_prospective_profile_paraphrase,permuted_labels,92,0.2550440705381334
stimuli_prospective_profile_paraphrase,random,93,0.00894435215741396
stimuli_prospective_profile_paraphrase,permuted_labels,93,-0.04950904846191406
stimuli_prospective_profile_paraphrase,random,94,0.011161248199641705
stimuli_prospective_profile_paraphrase,permuted_labels,94,-0.09491075947880745
stimuli_prospective_profile_paraphrase,random,95,0.0063318489119410515
stimuli_prospective_profile_paraphrase,permuted_labels,95,-0.0790221206843853
stimuli_prospective_profile_paraphrase,random,96,0.002373959869146347
stimuli_prospective_profile_paraphrase,permuted_labels,96,-0.205317341722548
stimuli_prospective_profile_paraphrase,random,97,-0.008007010444998741
stimuli_prospective_profile_paraphrase,permuted_labels,97,0.0032092109322547913
stimuli_prospective_profile_paraphrase,random,98,0.004649102687835693
stimuli_prospective_profile_paraphrase,permuted_labels,98,0.0977300051599741
stimuli_prospective_profile_paraphrase,random,99,-0.0026112105697393417
stimuli_prospective_profile_paraphrase,permuted_labels,99,0.14367355592548847
