layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
9,-3,0.09311161935329437,0.625,-0.015625007450580597,0.46875,-0.015625007450580597
9,-2,0.10888125747442245,0.75,0.015625007450580597,-0.15625,-0.15625
9,-1,0.11430294066667557,1.0,0.0,0.03125002980232239,0.0
10,-5,0.18406890332698822,0.875,0.015625,0.15625,0.015625
10,-4,0.14792969822883606,0.875,0.03125,0.03125,0.03125
10,-3,0.1045013964176178,0.625,7.450580596923828e-09,0.8749999850988388,7.450580596923828e-09
10,-2,0.1298229992389679,0.875,0.03125,0.4375000149011612,0.03125
10,-1,0.12068253010511398,0.875,0.04687502607703209,-0.031249992549419403,-0.031249992549419403
11,-5,0.32181331515312195,1.0,0.234375,0.28125,0.234375
11,-4,0.23977188766002655,1.0,0.1875,0.2812500447034836,0.1875
11,-3,0.10668189078569412,0.625,0.046875,0.5,0.046875
11,-2,0.17616499960422516,0.75,0.0156250037252903,0.1875000298023224,0.0156250037252903
11,-1,0.1870208978652954,0.625,0.140625,0.25,0.140625
12,-5,0.4043058753013611,1.0,0.3593750037252903,0.3437500149011612,0.3437500149011612
12,-4,0.28115734457969666,1.0,0.1718749925494194,0.1562499850988388,0.1562499850988388
12,-3,0.10901889204978943,0.75,0.0,0.21875,0.0
12,-2,0.18968182802200317,0.75,0.046875011175870895,0.031250014901161194,0.031250014901161194
12,-1,0.2123488038778305,0.625,0.09375,0.4375,0.09375
13,-5,0.5469159483909607,0.875,0.46875,0.5937500149011612,0.46875
13,-4,0.30308133363723755,0.875,0.171875,0.1875,0.171875
13,-3,0.12920376658439636,0.875,0.031249992549419403,0.25,0.031249992549419403
13,-2,0.20785751938819885,0.625,-0.046875,-2.9802322387695312e-08,-0.046875
13,-1,0.22569897770881653,0.75,0.1250000223517418,0.3125,0.1250000223517418
14,-5,0.5809803009033203,1.0,0.328125,0.5937499850988388,0.328125
14,-4,0.29832056164741516,0.75,0.03125,-0.09375004470348358,-0.09375004470348358
14,-3,0.1373012363910675,0.875,0.0,0.2187500298023224,0.0
